Halo Number,DataPoints,Virial Radius,NFW Scale Density,NFW Scale Radius,NFW Scale Density Uncertainty,NFW Scale Radius Uncertainty,NFW ChiSquare,NFW P-Value,Einasto Scale Density,Einasto Scale Radius,Einasto Scale Density Uncertainty,Einasto Scale Radius Uncertainty,Einasto ChiSquare,Einasto P-Value
2,51,100.56443292525472,19033959.452823896,15.603621042100839,2761734.55119059,0.9544534256531234,110266.9345033587,0.0,13273.009791135515,166.01690297370655,2558.6621680924413,13.696039640014659,163298.31597903563,0.0
3,51,39.225467303639306,175995077.030639,3.3883235221301606,53494734.72032508,0.41080989792533573,79178.65028283917,0.0,147452.41038766742,33.3087494052577,45944.61567574253,4.091784262601591,88433.80360151388,0.0
5,51,41.64740878320393,126200836.68526752,3.7341761625501473,32686604.67858984,0.3871811491924953,51926.08885430148,0.0,101286.46371887642,37.29299609630414,28289.110228498983,4.13960333080711,62021.9479835075,0.0
7,51,48.01932351468434,199903677.0938216,3.0528010951173115,45038034.504135944,0.2689286325714329,37982.19064316004,0.0,156789.01080439636,31.00829387302122,35145.327376981164,2.667504714618923,43263.87812516357,0.0
8,51,62.44043174624083,18598991.269725338,8.522613052001775,2084946.9665142626,0.3981478895901313,9123.054371800199,0.0,12832.693728262935,91.53161825533385,1417.6723097493505,4.272845857576537,7740.403601338801,0.0
9,51,28.93587722735565,247284707.41932508,2.3408912828346726,68214816.6700648,0.2563058862032298,32148.319557597708,0.0,199500.7132056931,23.35403746762236,57530.563711307725,2.6417565376666157,37262.75930835741,0.0
10,51,28.517154964079783,136554272.6876824,3.254782348761404,25747270.609861284,0.2508520568941368,15505.108151487078,0.0,102527.56807628956,33.46839838987114,22356.337553474947,2.993347557099564,19903.892024191333,0.0
11,51,53.095102826070814,62183242.98665483,4.292767477754041,2332551.124535096,0.06418256046322947,558.1493174837804,6.157457491499835e-92,42258.010824388904,46.113921941134656,3608.375724070456,1.5661870015230102,2957.4312660836003,0.0
12,51,35.17003734439092,196259480.43491906,2.5851688143639002,60062366.44571414,0.311957785204969,42369.40067426696,0.0,168228.9736372286,25.352947750414955,48545.5305360522,2.832602577869782,43838.33640819306,0.0
13,51,46.02421718356251,77933910.12475081,4.051020196346874,12535066.471500438,0.26099238921309426,12097.772483995375,0.0,60816.363194461424,41.16075893497614,10245.575265099695,2.7612740923000327,14112.943015218807,0.0
14,51,25.49431460558507,201706640.3579726,2.432374807815956,58150693.956251174,0.28176191731440153,28622.49507434418,0.0,163711.33828122774,24.160449661638214,50433.61052190022,2.970908880293477,33259.138101925855,0.0
15,51,8.733656912788668,590173422.0144099,1.4698582673701834,172184844.72433624,0.18171126771790108,15255.571354492793,0.0,385915.0533547979,15.862368805529504,147280.42915727478,2.61342118358865,20021.72835092486,0.0
17,51,52.12439295665285,42757638.01063181,4.9267110883915,2834686.2910355465,0.1316797113202598,1852.3977166164152,0.0,30459.380805810368,51.89964798871692,3172.138002961894,2.1817675793116904,4484.47572720744,0.0
18,51,33.17940577389459,71339101.63948056,3.3753490225548752,12248677.323885363,0.23456176841256257,8188.331848699038,0.0,53176.967717318,34.73870294621598,11195.259435036376,2.9612914937470793,11898.422774955992,0.0
19,51,50.24675177795561,17265972.46497553,7.142322842713661,1533044.2294463133,0.26524579764660045,3134.136898063692,0.0,11778.833334812049,76.85642385546791,1478.3524340593758,4.0954149250042295,5357.540788031483,0.0
20,51,20.9625695560791,90257755.45091784,3.689418213815773,18908028.197130803,0.32996945044931875,14412.83479789021,0.0,61600.41165829066,39.58975740231935,16445.112303698137,4.596063348270666,18867.054280830296,0.0
22,51,28.66598429894629,678105062.699023,1.479148435640859,238557902.65575057,0.20055233096957917,45200.61969427398,0.0,583719.8950641046,14.708665494798598,170641.50674725889,1.605578580181392,41456.67172808947,0.0
23,51,22.184692243889515,210468822.29713902,2.127240827887443,101426587.76082525,0.41122585595543787,64280.95694056041,0.0,194398.9991978978,20.10665104267961,92012.59252152595,3.7618826893877624,66548.45976818478,0.0
24,51,22.380793643834807,298546661.86979103,1.8634900963541505,99935125.07958639,0.24790093122648565,29143.256407792247,0.0,254594.7089925208,18.212871419518265,84800.41346537815,2.3790498412464447,31477.333438905225,0.0
25,51,10.209521728015956,2389706445.0673695,0.5395884291451554,1624098184.080294,0.14092586852111588,36751.95446942198,0.0,2548200.9348897836,5.064494984078043,1340051.8574065492,0.9808103611702526,33549.68467973974,0.0
26,51,20.98187795668542,174994795.50585297,2.5095737554311364,51321799.756855026,0.30146611848458893,25170.228482281073,0.0,135687.11720152042,25.337509057040393,44771.967698974804,3.433718078843742,29939.577713050698,0.0
27,51,20.67905410128067,303753749.50854105,1.4997021147032379,110043141.03921975,0.2138282279442486,19201.818404180045,0.0,268476.88984935975,14.556045668763188,89541.44873989155,1.8718013320458518,19328.44144719674,0.0
28,51,37.41468284657638,88089152.69283372,3.2485896396703473,9630061.414973686,0.14214805785197418,3379.632944767678,0.0,64255.1541818683,33.86922519301835,8826.332864730064,1.8558047612758577,5504.029527177792,0.0
29,51,36.15329493323181,102310191.65831117,3.058843217843226,17970973.947829127,0.21440132549710406,9344.16365799465,0.0,77678.19360227384,31.419967903935927,14090.399961742327,2.2592608558922245,10774.76948182148,0.0
30,51,28.49511501607121,173485832.36910868,2.0506635734651475,51857038.14231899,0.24158826759151553,16841.2032654987,0.0,144959.15318674291,20.269488620977544,42660.73913335544,2.3105490040581116,18319.57353860279,0.0
31,51,21.906112120081605,165524183.35599783,1.865247023498105,55479187.444229916,0.2488478854332947,16184.323636433495,0.0,141467.03914042862,18.19021991632752,47883.960445720026,2.4201891882939197,17695.153775393923,0.0
33,51,9.592174726448892,2268799456.7579618,0.5113033702641026,1796425146.285108,0.15564017595718105,40864.33543616535,0.0,2519026.669860764,4.749396047040677,1534253.2633547494,1.0626708649560896,37823.256330049335,0.0
34,51,17.130882778709115,533216281.7693424,1.2300490018442585,154733305.86927146,0.14055473224589915,11109.320421783817,0.0,448482.8779462072,12.162210949096584,122184.61120467974,1.280694028054724,11463.008115721861,0.0
37,51,34.287126732214205,25649031.53026147,4.849022152766191,2164241.4218678134,0.1709695537431453,1498.3214994497985,4.031926874819316e-283,17728.32768029061,51.848029284766376,2231.8421518148966,2.7665057586594513,2858.6152540740077,0.0
40,51,9.710492626951329,890325955.4213877,0.8420092772124725,309119699.64073026,0.1164936174706213,8600.088798701125,0.0,755790.1170107931,8.232909122936805,264015.6860595084,1.131960605208003,9334.098680526564,0.0
43,51,37.88476840898624,89259384.53491855,2.723435504511564,7760710.52616799,0.09356542846010568,1335.00986390585,2.945582333785233e-250,60698.16544708272,29.206928753161296,7793.5820666973095,1.4717375341350587,3044.6607425449747,0.0
44,51,29.35041303188148,72532173.78560199,3.066740024733329,20532689.77604754,0.3517151440314342,17926.20280034451,0.0,59488.760282019466,30.387553516480057,17747.284385040784,3.6577095560045927,20231.74705665868,0.0
45,51,35.396393697160256,34378776.46175953,3.9499469053976237,2627778.0327470484,0.12343869257636507,932.8210528481395,2.8997615641762825e-166,24897.478260572905,41.40361520529942,2416.1937955861927,1.6523216997809422,1426.9622407489423,1.3273664494790891e-269
46,51,28.15138746776919,245363011.0990332,1.767418540717689,41908540.89928234,0.1180575347145042,4778.9599774582575,0.0,184958.99333394656,18.253891901040312,32040.007489333526,1.21487581781055,5699.564036664734,0.0
48,51,37.07460536068432,48097122.77978907,3.7347509761842006,5358211.683917734,0.16855380057409358,2544.9256071266195,0.0,35878.3097742531,38.677619887908,4315.794100056782,1.886271836900143,2981.0815773083455,0.0
49,51,23.338387439678897,292322722.0779963,1.6957719947757903,83150115.71724342,0.19026031023694,13786.836784111289,0.0,244457.27599490772,16.824365669075743,63942.19432912681,1.7060857187686167,13821.853444019915,0.0
51,51,25.89076972686497,149784104.11177805,2.0282505415870937,36169026.42299971,0.194198479126837,8711.747004681692,0.0,120580.68042788934,20.329634969125745,29386.64455262737,1.9395739891299415,9806.222042900994,0.0
53,51,36.36325488591231,45208149.894797996,3.3758069763357104,3796743.316508594,0.11415845771242575,982.0885629267722,3.683908896104594e-177,32777.94668572724,35.360375789313906,3249.383847115723,1.411276393942328,1381.8456432664136,7.397620286467709e-261
